VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
CITY OF CHICAGO,Misc. Expenditures,6855.2,6/6/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,21432.5,1/2/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,2375,1/8/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1481,1/22/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1431.5,1/25/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,22113,1/30/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1073,1/30/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,1250,2/5/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,2405.5,2/8/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,2155.5,2/20/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,22000,2/21/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,1125,3/1/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,424.5,3/1/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,21975,3/6/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,1000,3/28/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,500,3/28/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,875,3/29/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1573,3/29/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,19572.5,4/27/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,19402.5,5/3/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,1875,5/3/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,250,5/4/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,1875,5/31/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1589.5,6/8/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,2125,7/31/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1514,8/15/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,6500,8/20/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,21717.5,9/20/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Equipment,4875,9/20/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,40682.5,9/24/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1872.5,9/24/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,20895,9/26/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,6500,10/3/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,865.5,10/3/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,400,10/10/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,1500,11/1/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,7665.99,11/2/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,1500,11/6/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,23628,11/13/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,3250,11/19/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,41432.5,11/20/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,1165,11/20/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,12836.2,11/28/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,20137.5,11/29/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,441,11/29/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,3250,11/30/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,3250,12/13/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Revenue Vehicle General Servicing,141.5,12/21/2018
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",Maintenance of Buildings,21882.5,12/31/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,19864.16,1/5/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,19670.53,1/19/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,19442.64,2/2/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,10888.84,2/16/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,8815.86,2/23/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,19693.31,3/2/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,20372.46,3/19/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,20686.62,4/10/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,20587.62,4/13/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,20686.62,4/27/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,21788,5/11/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,13080.38,5/25/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,22196.38,6/8/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,21800.38,6/22/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,22020,7/6/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,22382,7/20/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,24392.58,8/3/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,26191.96,9/4/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,8646.92,9/14/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,37578.5,9/19/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,8757.12,9/21/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,23409.14,10/1/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,23021.37,10/12/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,22085.01,10/26/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,25548.29,11/9/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,20835.12,11/23/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,20934.13,12/7/2018
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",Administrative Support,21243.61,12/21/2018
"*AMERICAN SURVEYING & ENGINEERING, PC",Administrative Support,3859.7,12/21/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,105111.6,1/2/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,2260.27,1/4/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,5336.4,1/11/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,12071.39,2/1/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,1237,2/8/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,12301.32,2/14/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,32134.38,2/15/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,12815.94,3/28/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,8387.93,3/29/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,4763.41,4/4/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,41861.6,4/12/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,4095.06,4/17/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,3211.16,4/20/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,9597.99,6/14/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,19954.81,6/21/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,2122.2,6/22/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,23212.98,7/5/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,10581.69,7/18/2018
"*ANDERSON & SHAH ROOFING, INC.",Contract Construction,23870,7/19/2018
"*ANDERSON & SHAH ROOFING, INC.",Contract Construction,6643,7/26/2018
"*ANDERSON & SHAH ROOFING, INC.",Contract Construction,22842.5,8/1/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,4354.56,8/8/2018
