VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
CUMMINS INC.,MAINTENANCE & REPAIRS,9872.72,1/8/2019
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,2720.00,1/24/2019
"HIGH PSI, LTD.",MAINTENANCE & REPAIRS,2165.66,2/26/2019
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,18143.42,3/20/2019
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,460406.28,3/8/2019
"ZIPCAR, INC.",EQUIPMENT RENTAL,1384.29,3/25/2019
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,122116.16,4/17/2019
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,18415.11,5/3/2019
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,15921.80,5/10/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,8413.39,5/9/2019
JOSHUA WEST,LEGAL COSTS,25.00,4/25/2019
HOLLAND LP,CONTRACTUAL SERVICES,230100.00,6/12/2019
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,4445.00,5/28/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,49.75,8/2/2019
"WISCO, INC.",MAINTENANCE & REPAIRS,166.15,9/19/2019
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,7107.50,9/13/2019
CINTAS CORPORATION,DIRECT PURCHASES,1165.32,9/6/2019
ANJUM F KOREISHI M.D.,ADMINISTRATION & HR,300.00,10/16/2019
ZIONS BANK,GENERAL EXPENSES,98406.43,10/30/2019
JACKSON LEWIS PC,LEGAL COSTS,2968.00,11/7/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,6743.79,12/31/2019
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,49648.50,12/27/2019
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,3895.00,1/11/2019
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,48348.77,1/15/2019
"GENFARE, A DIVISION OF SPX CORPORATION",DIRECT PURCHASES,2868.60,2/8/2019
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,19159.68,5/24/2019
GRANT LAW LLC,LEGAL COSTS,37467.50,5/21/2019
"HASTINGS AIR-ENERGY CONTROL,INC.",MAINTENANCE & REPAIRS,450.50,6/17/2019
ACCOUNTING PRINCIPALS INC,CONTRACTUAL SERVICES,2227.52,6/7/2019
NORTHERN ILLINOIS UNIVERSITY,TRAVEL & MEETING EXPENSE,850.00,9/6/2019
TALX CORPORATION,CONTRACTUAL SERVICES,450.00,10/1/2019
"OER SERVICES, LLC",EQUIPMENT RENTAL,4620.00,10/15/2019
AMERIMEX SALES & SERVICE,MAINTENANCE & REPAIRS,4637.00,10/22/2019
